,filename,snr,time,mean_clean,mean_noise
19,p232_023,1.971166432,9.768875,0.004428857,0.002813034
17,p232_021,11.91091895,8.5095,0.005852697,0.000376933
413,p257_023,17.08836317,8.214375,0.003698186,7.23E-05
2,p232_003,6.714614034,7.184875,0.004966877,0.001058332
15,p232_019,2.047736645,6.7355625,0.003932876,0.00245435
8,p232_011,16.80586934,6.5381875,0.00689204,0.000143801
3,p232_005,1.852522343,6.246625,0.00658219,0.004296533
18,p232_022,7.00611949,5.794,0.003078206,0.000613318
399,p257_008,7.106649876,5.583125,0.005522596,0.001075173
13,p232_016,11.98942661,5.569375,0.005467759,0.000345833
395,p257_003,7.006115317,5.5214375,0.004408066,0.000878287
20,p232_024,16.8006444,5.5204375,0.009461084,0.000197641
410,p257_019,12.04869509,5.5203125,0.001506788,9.40E-05
407,p257_016,6.989552379,5.34825,0.001747399,0.000349492
12,p232_015,16.94815636,5.3199375,0.0066464,0.000134206
402,p257_011,11.95235729,5.1079375,0.002661139,0.000169759
4,p232_006,16.85672045,5.1035,0.00414508,8.55E-05
412,p257_022,1.889490783,4.8556875,0.002812525,0.001820319
406,p257_015,11.88199639,4.6928125,0.002835201,0.000183816
414,p257_024,11.88531876,4.68525,0.003812345,0.000246979
11,p232_014,1.991353333,4.616875,0.004152133,0.00262504
409,p257_018,16.83425665,4.418625,0.002022326,4.19E-05
9,p232_012,11.89624429,4.3356875,0.003456968,0.000223394
491,p257_101,6.412626505,4.30475,0.003243555,0.000740898
218,p232_232,6.36253655,4.28,0.003867991,0.000893782
397,p257_006,16.89305305,4.2745,0.001741647,3.56E-05
612,p257_223,1.668251306,4.2505625,0.005541243,0.003773828
588,p257_199,-3.088442981,4.22525,0.002988336,0.006085185
6,p232_009,6.784259081,4.157625,0.008374691,0.001756074
386,p232_409,1.317227185,4.09,0.005548812,0.004097107
220,p232_235,16.72989368,3.9588125,0.007063233,0.000149973
647,p257_258,6.576641202,3.9575625,0.003899404,0.000857697
5,p232_007,11.81468606,3.9559375,0.005450679,0.000358907
10,p232_013,6.796967983,3.9434375,0.006929376,0.001448763
85,p232_090,11.3952899,3.943125,0.002345992,0.000170136
151,p232_160,2.453470826,3.9425,0.006483349,0.003685126
99,p232_104,1.269626468,3.92,0.007167584,0.005350694
290,p232_307,7.130980492,3.912625,0.002935429,0.000568295
244,p232_259,16.56136036,3.908,0.003256791,7.19E-05
575,p257_186,6.71022296,3.901375,0.002037924,0.000434676
53,p232_058,11.73345566,3.898625,0.005048995,0.000338734
326,p232_343,6.192973852,3.881125,0.005240844,0.001259227
141,p232_148,11.60529733,3.8730625,0.00420949,0.000290871
32,p232_037,16.56410098,3.856,0.003683205,8.12E-05
25,p232_030,11.7184031,3.8489375,0.006845496,0.000460855
177,p232_188,11.24800205,3.83,0.007843678,0.000588464
185,p232_197,11.3774848,3.782125,0.006348629,0.000462308
22,p232_027,6.702523828,3.7711875,0.007255889,0.00155038
531,p257_142,6.468946934,3.7466875,0.004916921,0.00110866
621,p257_232,16.81770325,3.7451875,0.002844012,5.92E-05
449,p257_059,16.69279456,3.7281875,0.002829384,6.06E-05
116,p232_123,16.68763876,3.707125,0.005413853,0.000116076
49,p232_054,11.70812011,3.70625,0.005673357,0.00038285
461,p257_071,16.70714974,3.7060625,0.002403585,5.13E-05
405,p257_014,16.51521206,3.6925,0.003478256,7.76E-05
287,p232_303,1.623177528,3.672875,0.002702503,0.001859724
207,p232_220,1.667068154,3.6615,0.002187146,0.001489947
668,p257_279,1.480923891,3.6466875,0.001962505,0.001395463
396,p257_004,1.414142996,3.6314375,0.002531124,0.001827675
16,p232_020,16.2353611,3.6166875,0.004387962,0.000104406
747,p257_358,6.633372307,3.5960625,0.004437501,0.000963388
266,p232_282,6.671637893,3.5884375,0.005172209,0.001113044
799,p257_410,6.5735358,3.5811875,0.004882243,0.001074647
90,p232_095,7.470113635,3.5736875,0.007097431,0.001270837
122,p232_129,6.648074389,3.5615,0.006140146,0.00132853
625,p257_236,16.4070487,3.5586875,0.00387948,8.87E-05
359,p232_378,1.542910337,3.551,0.005468656,0.003833448
98,p232_103,6.650121212,3.5469375,0.005289568,0.001143953
596,p257_207,1.588540226,3.5298125,0.003233281,0.002242794
508,p257_118,1.663125157,3.5286875,0.002469586,0.001683882
713,p257_324,16.64136887,3.5205625,0.002581787,5.59E-05
768,p257_379,1.296790391,3.5185625,0.004800466,0.003561266
188,p232_200,16.37118459,3.51,0.004732116,0.000109128
104,p232_109,16.59904838,3.49175,0.004259852,9.32E-05
27,p232_032,1.74068138,3.4900625,0.00802807,0.005377037
278,p232_294,6.516733766,3.4866875,0.004492572,0.001001894
470,p257_080,11.54724956,3.48425,0.004086159,0.000286148
524,p257_135,1.58028096,3.480875,0.001969455,0.00136873
111,p232_117,1.718744338,3.4729375,0.006322711,0.004256267
623,p257_234,6.973115802,3.46375,0.003531672,0.000709037
651,p257_262,6.914691925,3.4579375,0.004366987,0.000888613
206,p232_219,6.618862152,3.4576875,0.004632599,0.00100911
403,p257_012,6.769036651,3.457625,0.002990288,0.00062923
400,p257_009,1.709304601,3.452625,0.005380566,0.003629924
485,p257_095,16.54929161,3.4439375,0.002433061,5.39E-05
168,p232_179,16.63920045,3.441125,0.00651156,0.000141177
772,p257_383,1.610687375,3.437125,0.002836497,0.001957553
813,p257_424,16.58743501,3.435375,0.002962863,6.50E-05
182,p232_194,6.633181572,3.431,0.005970488,0.001296259
411,p257_020,6.382085085,3.4194375,0.003297842,0.000758615
553,p257_164,16.53873324,3.41725,0.002396478,5.32E-05
24,p232_029,16.49929643,3.4153125,0.004892133,0.000109539
819,p257_430,6.646572351,3.41525,0.002567483,0.000555713
277,p232_293,11.6090548,3.4145,0.005671081,0.000391526
192,p232_204,16.53414845,3.4063125,0.00561553,0.000124731
398,p257_007,11.67361856,3.3976875,0.003692885,0.000251191
158,p232_169,6.590563655,3.3879375,0.004675318,0.001025073
354,p232_372,6.584371924,3.37125,0.008236429,0.00180843
534,p257_145,11.97292566,3.370625,0.004020107,0.000255238
564,p257_175,1.44426465,3.3665625,0.002011216,0.001442222
755,p257_366,6.620357633,3.3651875,0.005174906,0.001126852
778,p257_389,11.85466409,3.359875,0.003943276,0.000257271
389,p232_412,11.64970994,3.3504375,0.007700245,0.000526664
233,p232_248,11.60295844,3.350375,0.004556775,0.000315037
686,p257_297,11.29333854,3.3426875,0.002151062,0.000159705
236,p232_251,16.28309369,3.33725,0.005044027,0.000118705
251,p232_267,1.684152484,3.336375,0.006373159,0.004324536
626,p257_237,11.57065153,3.3356875,0.002988068,0.000208126
345,p232_363,11.60378218,3.3263125,0.006011564,0.000415537
543,p257_154,7.185938954,3.3201875,0.003430303,0.000655751
208,p232_221,17.02497602,3.317375,0.006530556,0.000129555
506,p257_116,11.73584104,3.3111875,0.001264108,8.48E-05
567,p257_178,6.581056714,3.30425,0.002396779,0.00052665
225,p232_240,11.49289846,3.3024375,0.006808823,0.000482817
478,p257_088,11.63959861,3.301,0.002744389,0.000188142
511,p257_121,6.593154669,3.30075,0.004314591,0.000945419
329,p232_347,11.67813897,3.2945625,0.00450119,0.000305853
229,p232_244,11.36658907,3.2873125,0.004224944,0.000308434
425,p257_035,16.40643716,3.28025,0.002607891,5.97E-05
61,p232_066,11.47220135,3.2770625,0.007399908,0.000527237
374,p232_393,6.561535597,3.2763125,0.002511315,0.000554304
728,p257_339,1.568723768,3.273875,0.001665303,0.001160435
273,p232_289,11.47436619,3.27025,0.003099334,0.000220715
428,p257_038,2.030238211,3.269,0.00357368,0.002239195
619,p257_230,6.287263036,3.26225,0.002195194,0.000516115
351,p232_369,1.67352736,3.2589375,0.007444269,0.005063715
703,p257_314,6.638008952,3.253625,0.00235554,0.000510845
355,p232_373,1.559133828,3.2524375,0.004240994,0.00296179
169,p232_180,11.47459507,3.2495625,0.00538245,0.000383284
56,p232_061,16.56394124,3.248625,0.006650711,0.000146715
213,p232_227,11.55865788,3.246125,0.00410928,0.000287012
756,p257_367,1.653534323,3.244375,0.001652729,0.001129401
673,p257_284,16.38495564,3.2351875,0.002702031,6.21E-05
387,p232_410,6.554134488,3.2346875,0.008674877,0.001918006
373,p232_392,11.5709734,3.221,0.006007112,0.000418378
108,p232_114,16.83849573,3.1960625,0.003834414,7.94E-05
725,p257_336,16.32885337,3.19175,0.002045269,4.76E-05
246,p232_261,6.606855989,3.189125,0.006781776,0.00148135
375,p232_394,1.530990452,3.186125,0.005373509,0.003777104
753,p257_364,17.0785749,3.184625,0.003547547,6.95E-05
468,p257_078,1.424654126,3.1721875,0.002947544,0.002123219
645,p257_256,16.41320109,3.17125,0.003446953,7.87E-05
520,p257_130,1.214831993,3.171,0.001872224,0.001415385
800,p257_411,1.80575192,3.1709375,0.003457138,0.002281085
113,p232_119,11.21579051,3.1679375,0.002772584,0.000209559
248,p232_264,16.62236214,3.16275,0.00533737,0.000116169
620,p257_231,1.563108414,3.1586875,0.002138935,0.001492406
30,p232_035,6.648074389,3.1585,0.007103065,0.001536874
557,p257_168,16.38618708,3.157125,0.004383941,0.00010075
667,p257_278,6.131358743,3.1539375,0.002159416,0.00052626
439,p257_049,6.828323007,3.1489375,0.003050455,0.000633187
573,p257_184,16.38354063,3.147625,0.002370383,5.45E-05
637,p257_248,16.42837405,3.139125,0.004388667,9.99E-05
605,p257_216,16.37961388,3.13825,0.002703201,6.22E-05
404,p257_013,1.788140535,3.1381875,0.004813041,0.00318864
112,p232_118,16.33242011,3.1344375,0.001797504,4.18E-05
522,p257_132,11.68163419,3.133,0.002373621,0.000161157
696,p257_307,1.528610587,3.1325625,0.002262732,0.001591373
585,p257_196,16.51437879,3.130125,0.002457423,5.48E-05
164,p232_175,16.54417515,3.126,0.003327006,7.37E-05
337,p232_355,11.51349902,3.107625,0.005156558,0.000363923
664,p257_275,1.60712406,3.107,0.003009051,0.002078342
546,p257_157,11.546067,3.1044375,0.003494006,0.000244747
636,p257_247,1.415049434,3.0899375,0.002624577,0.001894761
317,p232_334,11.48382783,3.0804375,0.004345114,0.000308758
279,p232_295,1.43587634,3.0771875,0.007618718,0.005473868
613,p257_224,16.77400827,3.07475,0.00282045,5.93E-05
259,p232_275,1.499364525,3.073625,0.003002885,0.002126191
577,p257_188,16.23546004,3.0708125,0.004158035,9.89E-05
811,p257_422,6.445556879,3.0680625,0.003084991,0.000699356
264,p232_280,16.3313818,3.0670625,0.005218487,0.000121452
115,p232_121,1.520813107,3.064875,0.007869089,0.005544255
631,p257_242,6.491838694,3.0648125,0.002515807,0.000564278
587,p257_198,6.450282931,3.0601875,0.003455109,0.000782408
377,p232_397,11.48934484,3.0599375,0.0053428,0.00037917
685,p257_296,15.85487485,3.0565,0.001671019,4.34E-05
736,p257_347,1.516428888,3.0558125,0.003443606,0.002428681
124,p232_131,16.48864508,3.0540625,0.004681695,0.000105084
640,p257_251,1.792388111,3.04925,0.004380364,0.002899155
261,p232_277,11.47546768,3.0454375,0.006924787,0.000493014
770,p257_381,10.9865272,3.0371875,0.00200575,0.000159817
536,p257_147,1.744941622,3.0343125,0.002360319,0.001579343
608,p257_219,2.152344882,3.0325625,0.003037409,0.001850413
238,p232_253,6.346672177,3.027875,0.005125178,0.001188616
517,p257_127,16.33576751,3.027375,0.003424868,7.96E-05
422,p257_032,11.06812954,3.025625,0.001135111,8.88E-05
190,p232_202,7.01857388,3.025125,0.004982545,0.000989906
688,p257_299,1.504158825,3.017625,0.00325402,0.002301465
417,p257_027,16.69155836,3.0175625,0.004892987,0.000104814
551,p257_162,6.483127475,3.0155,0.003850642,0.000865407
254,p232_270,6.502057314,3.0149375,0.005953781,0.001332254
258,p232_274,6.436812878,3.0113125,0.005370285,0.001219877
366,p232_385,6.425902247,3.0069375,0.005519077,0.001256829
368,p232_387,16.5193367,3.003375,0.003794203,8.46E-05
791,p257_402,6.37473166,3.001375,0.002869309,0.000661156
203,p232_216,1.353237331,3.0010625,0.003393475,0.002484968
591,p257_202,5.641188025,3,0.002314103,0.000631341
580,p257_191,1.628590226,2.985125,0.004000388,0.002749433
732,p257_343,1.323850304,2.9839375,0.002197606,0.001620186
255,p232_271,1.432856023,2.983625,0.00464837,0.003342067
378,p232_398,6.479933262,2.976,0.006316509,0.001420639
237,p232_252,10.96343279,2.97,0.007051566,0.000564862
358,p232_377,6.406366825,2.9668125,0.004012431,0.000917848
595,p257_206,6.476939321,2.96625,0.003539367,0.000796584
472,p257_082,0.930282101,2.96525,0.002185884,0.001764407
57,p232_062,11.39405847,2.964,0.00450595,0.000326874
338,p232_356,6.484460235,2.962625,0.004797165,0.001077801
121,p232_128,11.14124298,2.96175,0.003530195,0.00027144
253,p232_269,11.49270415,2.958,0.004963999,0.000352015
708,p257_319,1.433375925,2.954125,0.004459381,0.003205804
44,p232_049,16.44634604,2.941125,0.00687892,0.000155914
734,p257_345,11.44336343,2.935375,0.003385437,0.000242817
678,p257_289,10.79956651,2.93,0.002535278,0.000210896
629,p257_240,16.69531345,2.929625,0.00392369,8.40E-05
247,p232_263,1.500973105,2.9283125,0.005853697,0.004143172
681,p257_292,16.60387993,2.9270625,0.00280965,6.14E-05
83,p232_088,1.451865733,2.923625,0.007250892,0.005190448
356,p232_374,16.43337488,2.9183125,0.006097349,0.000138613
447,p257_057,6.446754932,2.9156875,0.004149451,0.000940405
660,p257_271,1.683536619,2.9145625,0.00265387,0.001801051
319,p232_336,0.961528644,2.9143125,0.002017976,0.001617198
441,p257_051,16.90054297,2.9038125,0.003845745,7.85E-05
764,p257_375,2.077458948,2.8949375,0.00260627,0.001615376
420,p257_030,1.453823894,2.8905625,0.002125683,0.001520954
479,p257_089,6.449545026,2.889875,0.002538105,0.000574851
14,p232_017,6.432569027,2.8893125,0.003791746,0.000862149
234,p232_249,6.161769032,2.8853125,0.003009522,0.000728317
474,p257_084,11.2919879,2.8831875,0.001058278,7.86E-05
783,p257_394,6.41577065,2.88275,0.00138512,0.000316163
344,p232_362,16.38536692,2.8750625,0.002259211,5.19E-05
408,p257_017,1.622808427,2.8710625,0.001536416,0.001057373
245,p232_260,10.89383364,2.8565625,0.002761276,0.000224764
174,p232_185,6.315232515,2.85575,0.006167479,0.001440736
320,p232_337,16.4199841,2.8546875,0.006456497,0.000147231
31,p232_036,1.48295626,2.843375,0.005903184,0.004195567
239,p232_254,1.390572041,2.84,0.005560689,0.004037118
721,p257_332,16.51762009,2.834375,0.003335823,7.44E-05
634,p257_245,11.42888427,2.830375,0.004050469,0.000291485
677,p257_288,14.81783032,2.83,0.002686577,8.86E-05
235,p232_250,1.233939528,2.8271875,0.005306413,0.003993991
709,p257_320,16.4178741,2.8238125,0.006635947,0.000151396
361,p232_380,11.46226168,2.8225,0.00578685,0.000413253
222,p232_237,6.30779922,2.8215625,0.007703813,0.00180271
672,p257_283,1.397518814,2.8213125,0.002515768,0.001823554
469,p257_079,16.37180328,2.82125,0.003625703,8.36E-05
749,p257_360,16.40446424,2.8206875,0.001769438,4.05E-05
89,p232_094,11.48774385,2.8159375,0.006159159,0.000437267
740,p257_351,1.420917958,2.815125,0.003230038,0.002328712
642,p257_253,11.27258301,2.81175,0.002995609,0.000223474
392,p232_415,1.049971879,2.8041875,0.004376588,0.003436675
795,p257_406,6.53973937,2.8001875,0.004115888,0.00091304
482,p257_092,9.690285921,2.8,0.003796764,0.000407742
533,p257_144,17.05296278,2.799375,0.003119429,6.15E-05
459,p257_069,6.888649464,2.7894375,0.003340146,0.000683755
788,p257_399,1.74571991,2.7849375,0.00407715,0.002727625
773,p257_384,15.78112483,2.78,0.001385737,3.66E-05
394,p257_002,11.32395983,2.776125,0.002799279,0.000206372
739,p257_350,6.946940422,2.7759375,0.004215378,0.000851417
295,p232_312,1.376390159,2.770625,0.007298859,0.005316379
165,p232_176,11.45490527,2.77025,0.003553974,0.000254228
332,p232_350,15.36964655,2.77,0.007691441,0.000223379
94,p232_099,6.370285153,2.76475,0.006933602,0.001599302
7,p232_010,0.909119025,2.764375,0.005743189,0.004658448
243,p232_258,1.360558718,2.7593125,0.005190345,0.003794376
240,p232_255,15.73400378,2.7515625,0.003710362,9.91E-05
330,p232_348,6.387455463,2.74525,0.010399184,0.002389207
109,p232_115,11.41375661,2.744875,0.005482997,0.000395952
415,p257_025,6.098244786,2.74175,0.004075267,0.001000764
654,p257_265,11.3314712,2.738875,0.002788353,0.000205211
606,p257_217,11.44948363,2.7355625,0.003586329,0.000256863
342,p232_360,6.354700327,2.7328125,0.005551963,0.001285217
143,p232_151,1.33508265,2.7268125,0.003751236,0.002758457
140,p232_147,16.35183334,2.72525,0.006350719,0.000147109
152,p232_161,16.36540055,2.721875,0.00761076,0.000175747
489,p257_099,15.80032468,2.7181875,0.003151081,8.29E-05
1,p232_002,11.3111186,2.71525,0.008158024,0.000603216
135,p232_142,1.870866567,2.7140625,0.004692499,0.003050124
487,p257_097,5.998042226,2.71175,0.004607878,0.001157969
456,p257_066,0.655395985,2.71,0.004597166,0.003953216
649,p257_260,15.66128731,2.71,0.003176812,8.63E-05
556,p257_167,1.428578198,2.709125,0.003060302,0.002202452
194,p232_206,6.320255399,2.7054375,0.007615502,0.001776941
92,p232_097,16.3612318,2.704625,0.005373478,0.000124203
189,p232_201,11.40442371,2.7019375,0.003379008,0.000244538
437,p257_047,16.10953331,2.694,0.004424523,0.000108371
766,p257_377,11.01708889,2.689125,0.002934149,0.000232152
807,p257_418,6.293153763,2.6871875,0.003831493,0.000899607
157,p232_167,11.32230878,2.6829375,0.005335126,0.000393472
380,p232_400,16.32722378,2.6826875,0.003304295,7.70E-05
149,p232_158,11.55864835,2.6820625,0.005791291,0.000404493
650,p257_261,11.38226151,2.6740625,0.004784822,0.000348048
305,p232_322,11.37813449,2.6695,0.006572498,0.000478539
635,p257_246,6.319024563,2.6690625,0.003970791,0.000926776
64,p232_069,16.36114478,2.668875,0.006170185,0.000142621
430,p257_040,11.24278665,2.6685,0.002289571,0.000171979
429,p257_039,16.31330252,2.6615625,0.003054789,7.14E-05
360,p232_379,16.26211047,2.6593125,0.00617442,0.000146011
331,p232_349,1.371114403,2.6585,0.005906973,0.00430778
311,p232_328,1.389525831,2.655375,0.005294666,0.003844908
566,p257_177,11.59891486,2.651375,0.004176769,0.000289034
138,p232_145,6.091251969,2.65,0.005033324,0.001238026
727,p257_338,5.976038575,2.6495,0.002527534,0.0006384
719,p257_330,6.464160085,2.64875,0.004952002,0.001117802
518,p257_128,11.34451866,2.648625,0.002473264,0.000181476
102,p232_107,6.190561056,2.642375,0.008303915,0.001996305
583,p257_194,7.045015097,2.633,0.00290958,0.000574551
738,p257_349,11.01591706,2.627875,0.005176051,0.000409644
260,p232_276,16.30570531,2.624625,0.007078293,0.000165714
325,p232_342,11.40562177,2.6228125,0.006567912,0.000475188
666,p257_277,11.35106087,2.6209375,0.003340241,0.000244721
62,p232_067,6.275081038,2.6171875,0.005962777,0.001405855
268,p232_284,16.3931036,2.615875,0.003263471,7.49E-05
687,p257_298,5.866384506,2.6083125,0.002848831,0.000737952
633,p257_244,16.2695694,2.6076875,0.003908273,9.23E-05
603,p257_214,6.120765805,2.60625,0.001677242,0.00040975
690,p257_301,10.04573107,2.60575,0.00166035,0.000164296
324,p232_341,16.31607533,2.6,0.00533017,0.00012449
492,p257_102,1.257507503,2.5924375,0.00417564,0.00312588
455,p257_065,6.127234101,2.5888125,0.003392058,0.000827446
66,p232_071,6.193526387,2.588625,0.006268715,0.001506003
763,p257_374,5.804124475,2.58125,0.004405223,0.001157592
601,p257_212,16.83888555,2.57825,0.002523512,5.23E-05
639,p257_250,6.076042652,2.57375,0.004370062,0.001078657
486,p257_096,10.22796392,2.57,0.002553237,0.000242267
496,p257_106,1.448562741,2.5695625,0.004785882,0.003428512
477,p257_087,16.05575442,2.565375,0.003112284,7.72E-05
307,p232_324,1.294541061,2.5594375,0.006029859,0.004475619
582,p257_193,11.60298824,2.558875,0.005857832,0.000404984
700,p257_311,1.348262727,2.558,0.003929574,0.00288084
304,p232_321,16.29032612,2.5575625,0.007087219,0.000166511
257,p232_273,10.73377371,2.554,0.004558042,0.000384947
178,p232_189,6.159391999,2.55325,0.006455389,0.001563087
357,p232_375,11.17300272,2.5520625,0.005148558,0.000392993
657,p257_268,15.97603679,2.551125,0.003196616,8.07E-05
659,p257_270,6.137413979,2.551125,0.004471643,0.001088243
147,p232_155,1.253555268,2.5508125,0.004380304,0.003282076
65,p232_070,11.27521038,2.543875,0.005326616,0.000397128
384,p232_405,6.263587475,2.5423125,0.005364743,0.001268207
519,p257_129,6.357753873,2.5416875,0.003666039,0.00084805
655,p257_266,6.034411192,2.5405,0.002198951,0.000547992
231,p232_246,1.048842371,2.5395625,0.00507241,0.003984099
443,p257_053,5.931779146,2.538625,0.006067825,0.0015483
369,p232_388,11.80103421,2.5320625,0.007285865,0.000481258
558,p257_169,11.26331091,2.5264375,0.002412596,0.000180366
475,p257_085,6.762326956,2.526125,0.004110249,0.000866234
63,p232_068,1.35112673,2.5223125,0.005286365,0.003872973
532,p257_143,1.281412095,2.520625,0.007900531,0.005881866
549,p257_160,16.55485392,2.51975,0.003992605,8.83E-05
723,p257_334,5.423023701,2.5190625,0.002694669,0.000773042
796,p257_407,1.364168525,2.518625,0.004420367,0.003228802
37,p232_042,11.2374723,2.5135625,0.007384552,0.000555363
748,p257_359,1.014380753,2.51325,0.002776569,0.002198217
209,p232_223,10.66276193,2.5131875,0.007110398,0.000610404
599,p257_210,5.783321261,2.5125625,0.002698446,0.000712495
171,p232_182,1.398972422,2.5120625,0.00562294,0.004074424
445,p257_055,16.06011271,2.4968125,0.004359911,0.000108011
276,p232_292,15.13012528,2.4900625,0.001811807,5.56E-05
675,p257_286,6.043641567,2.4880625,0.003671035,0.000912902
383,p232_404,15.60006738,2.4820625,0.003423049,9.43E-05
538,p257_149,11.19359851,2.47675,0.00217577,0.000165293
292,p232_309,16.2390244,2.476375,0.011685015,0.000277796
523,p257_133,5.800688267,2.476,0.00390671,0.001027407
302,p232_319,6.215827465,2.472,0.006221807,0.001487078
346,p232_364,6.093932986,2.47125,0.008306604,0.00204188
155,p232_164,1.167228594,2.468875,0.006040799,0.004617123
262,p232_278,5.557246804,2.4678125,0.0052636,0.001464058
123,p232_130,1.230789796,2.4646875,0.003823359,0.002879825
669,p257_280,15.87811708,2.464625,0.002972465,7.68E-05
463,p257_073,6.211869717,2.4585625,0.003093328,0.000740013
126,p232_133,6.230988503,2.439625,0.004603289,0.001096401
702,p257_313,10.5755949,2.4386875,0.002416906,0.00021169
781,p257_392,16.85118794,2.437,0.002973641,6.14E-05
452,p257_062,1.157537252,2.4329375,0.004795082,0.003673181
501,p257_111,16.70134306,2.4321875,0.003383923,7.23E-05
644,p257_255,1.129597127,2.431625,0.00354873,0.002735982
817,p257_428,11.16188645,2.4295625,0.003076919,0.000235466
181,p232_193,10.97131968,2.41775,0.004924436,0.000393754
335,p232_353,1.035344973,2.4139375,0.00217559,0.001714125
820,p257_431,6.274135709,2.4120625,0.003469208,0.000818119
793,p257_404,15.21602869,2.41,0.002949454,8.87E-05
730,p257_341,11.15805984,2.4064375,0.00314177,0.00024064
300,p232_317,15.98030925,2.4048125,0.007366143,0.00018587
187,p232_199,1.192337722,2.3984375,0.003193357,0.002426687
74,p232_079,5.902456641,2.394375,0.006045579,0.001553074
622,p257_233,10.72542667,2.393625,0.002608388,0.000220714
301,p232_318,11.17337704,2.390875,0.005360295,0.00040912
460,p257_070,1.561064124,2.3895,0.001864534,0.001301559
101,p232_106,11.14787698,2.388,0.00538734,0.000413606
93,p232_098,11.10996366,2.3846875,0.008875218,0.000687358
310,p232_327,6.205021739,2.382625,0.006936902,0.001662124
285,p232_301,10.28800607,2.3813125,0.003283662,0.000307297
707,p257_318,5.46575129,2.38,0.002894852,0.00082234
797,p257_408,16.15933418,2.3796875,0.002726381,6.60E-05
200,p232_213,14.87610459,2.373125,0.004933081,0.000160512
401,p257_010,16.23589993,2.3696875,0.005232055,0.000124475
561,p257_172,16.8734169,2.362875,0.003734039,7.67E-05
563,p257_174,5.347507,2.361125,0.003467218,0.001012116
562,p257_173,11.34514332,2.3560625,0.003930898,0.000288388
540,p257_151,1.263216585,2.3559375,0.005812694,0.004345661
223,p232_238,0.46328526,2.35175,0.003229479,0.002902712
516,p257_126,0.217502732,2.351125,0.001628664,0.001549106
682,p257_293,10.0015986,2.34925,0.003193483,0.000319231
782,p257_393,11.07622385,2.3480625,0.003295897,0.000257248
183,p232_195,1.016087532,2.3469375,0.006461654,0.005113696
784,p257_395,1.086388156,2.34675,0.003517752,0.002739217
70,p232_075,6.208632588,2.3465625,0.00584605,0.001399585
679,p257_290,6.166263819,2.3409375,0.004342603,0.001049842
146,p232_154,6.14303112,2.34075,0.006218029,0.001511296
55,p232_060,0.091619315,2.34,0.005877104,0.005754418
250,p232_266,6.264371276,2.3356875,0.005354968,0.001265668
186,p232_198,5.589969158,2.331875,0.00285701,0.000788705
697,p257_308,16.13784909,2.325125,0.002711686,6.60E-05
